ID,Type,Severity,Module,File,Line,Description,Effort_Hours,Impact,Recommendation,GitHub_Issue
TD-001,TODO,Medium,Core/Managers,apps/backend/src/core/managers/service_loader_example.py,17,Mock imports - TODO: Replace with actual imports when modules are available,4,Service loader cannot function with real services,Implement actual service imports and remove mock classes,
TD-002,TODO,Medium,Core/Managers,apps/backend/src/core/managers/service_loader_example.py,31,Mock classes for demonstration - TODO: Replace with actual imports,4,Example code not production-ready,Replace mock classes with actual implementations,
TD-003,TODO,Medium,Core/Managers,apps/backend/src/core/managers/dependency_manager.py,20,Mock yaml import - TODO: Replace with actual yaml when available,1,Cannot load YAML configuration files,Install PyYAML and implement actual YAML loading,
TD-004,TODO,Medium,Core/Managers,apps/backend/src/core/managers/core_service_demo.py,17,Mock imports - TODO: Replace with actual imports when modules are available,4,Demo code not functional,Implement actual service integrations,
TD-005,TODO,Medium,Core/Managers,apps/backend/src/core/managers/core_service_demo.py,26,Mock classes for demonstration - TODO: Replace with actual imports,4,Demo code not functional,Replace mock classes with actual implementations,
TD-006,DEPRECATED,High,Economy,apps/backend/src/economy/economy_manager.py,36,Deprecated method process_transaction - Use add_transaction instead. Logic is incomplete,2,Incomplete transaction processing logic,Remove deprecated method or complete implementation,Yes
TD-007,DEPRECATED,Medium,Core/HSP,apps/backend/src/core/hsp/versioning.py,19,Deprecated features tracking in HSP versioning system,8,Need to migrate deprecated features,Document migration path for deprecated features,
TD-008,DEPRECATED,Low,Core/HSM,apps/backend/src/core/hsm_formula_system.py,98,HSM blueprints have deprecated status tracking,4,Need cleanup of deprecated blueprints,Review and remove or migrate deprecated blueprints,
TD-009,PLACEHOLDER,High,Modules/Fragmenta,apps/backend/src/modules_fragmenta/vision_tone_inverter.py,7,Entire VisionToneInverter module is placeholder implementation,16,Vision tone inversion not functional,Implement actual computer vision tone adjustment algorithms,Yes
TD-010,PLACEHOLDER,High,Modules/Fragmenta,apps/backend/src/modules_fragmenta/element_layer.py,7,Entire ElementLayer module is placeholder implementation,16,Element processing not functional,Implement actual element layer processing logic,Yes
TD-011,PLACEHOLDER,Critical,Core/Tools,apps/backend/src/core/tools/tool_dispatcher.py,9,ToolDispatcher is STUB implementation - restored to fix corruption,24,Tool dispatching not functional - critical system component,Implement full tool dispatching logic with proper routing,Yes
TD-012,STUB,High,Core/HSP/Fallback,apps/backend/src/core/hsp/fallback/fallback_protocols.py,9,All fallback protocols are stubs (InMemory FileBased HTTP),20,No fallback communication mechanisms available,Implement actual fallback protocols for resilient communication,Yes
TD-013,STUB,Medium,Core/HSP/Bridge,apps/backend/src/core/hsp/bridge/data_aligner.py,9,DataAligner is stubbed to fix corruption,12,Data alignment between systems not functional,Implement data transformation and alignment logic,
TD-014,STUB,Medium,Core/Tools,apps/backend/src/core/tools/code_understanding_tool.py,9,CodeUnderstandingTool restored as stub,16,Code analysis not functional,Implement AST parsing and code analysis logic,
TD-015,NOT_IMPLEMENTED,Critical,Core/Error,apps/backend/src/core/error/error_handler.py,75,Error handler raises NotImplementedError,8,Error handling not functional,Implement error handling recovery and logging logic,Yes
TD-016,NOT_IMPLEMENTED,High,Core/Desktop,apps/backend/src/core/desktop/tray_manager.py,50,Multiple tray manager methods raise NotImplementedError (4 methods),12,System tray functionality not available,Implement platform-specific tray icon management,Yes
TD-017,NOT_IMPLEMENTED,Medium,AI/Meta-Formulas,apps/backend/src/ai/meta_formulas/meta_formula.py,14,Meta-formula base class not implemented,20,Meta-formula system not functional,Implement meta-formula evaluation and transformation logic,
TD-018,INCOMPLETE_IMPORT,Medium,AI/Token,apps/backend/src/ai/token/token_validator.py,12,Multiple incomplete imports commented out (test_tool_dispatcher_logging test_json_fix),2,Missing test integration,Complete imports or remove commented code,
TD-019,INCOMPLETE_IMPORT,Medium,AI/Context,apps/backend/src/ai/context/utils.py,8,Multiple incomplete imports from tests and storage modules,4,Context utilities missing dependencies,Complete imports or refactor to remove dependencies,
TD-020,INCOMPLETE_IMPORT,High,AI/Context,apps/backend/src/ai/context/demo_context_system.py,5,7+ incomplete imports for context system modules,8,Context system demo not functional,Complete module structure and fix imports,Yes
TD-021,INCOMPLETE_IMPORT,Medium,AI/Discovery,apps/backend/src/ai/discovery/service_discovery_module.py,9,Multiple incomplete imports with placeholder types,4,Service discovery using placeholder types,Complete type definitions and imports,
TD-022,LEGACY,Medium,Compatibility,apps/backend/src/compat/transformers_compat.py,10,TF_USE_LEGACY_KERAS environment variable for TensorFlow/Keras compatibility,8,Using deprecated Keras API,Migrate to Keras 3.0 API or update TensorFlow version,Yes
TD-023,LEGACY,Medium,Tools,apps/backend/src/tools/natural_language_generation_tool.py,24,TF_USE_LEGACY_KERAS environment variable,4,Using deprecated Keras API,Update to modern Keras 3.0,Yes
TD-024,LEGACY,Medium,Tools/Math,apps/backend/src/tools/math_model/train.py,15,TF_USE_LEGACY_KERAS environment variable,4,Using deprecated Keras API,Update training pipeline to Keras 3.0,Yes
TD-025,LEGACY,Low,Shared,apps/backend/src/shared/key_manager.py,2,Legacy Support & Refined comment in key manager,8,Key management may have legacy code,Review and modernize key management implementation,
TD-026,LEGACY,Low,MCP,apps/backend/src/mcp/types.py,11,Original MCP Types (Legacy) comment,4,May need type system update,Review MCP types for modernization,
TD-027,PLACEHOLDER,High,AI/Memory,apps/backend/src/ai/memory/importance_scorer.py,9,Importance scoring returns hardcoded 0.5 placeholder value,12,Memory importance not properly evaluated,Implement ML-based importance scoring algorithm,Yes
TD-028,PLACEHOLDER,High,AI/Memory,apps/backend/src/ai/memory/ham_utils.py,13,Multiple HAM utility functions are placeholder implementations,16,HAM memory utilities not functional,Implement actual HAM memory operations,Yes
TD-029,PLACEHOLDER,Medium,AI/Memory,apps/backend/src/ai/memory/ham_data_processor.py,67,Advanced language features (radicals POS tags) are placeholder implementations,20,Limited language processing capabilities,Integrate actual NLP libraries (spaCy jieba) for language features,
TD-030,PLACEHOLDER,Medium,AI/Memory,apps/backend/src/ai/memory/ham_memory/ham_core_storage.py,79,Disk usage monitoring is placeholder,4,No actual disk monitoring,Implement real disk usage tracking with psutil,
TD-031,PLACEHOLDER,Medium,AI/OPS,apps/backend/src/ai/ops/predictive_maintenance.py,30,Anomaly detection and predictive models are placeholders,24,Predictive maintenance not functional,Implement ML-based anomaly detection and prediction,
TD-032,PLACEHOLDER,Medium,AI/OPS,apps/backend/src/ai/ops/performance_optimizer.py,30,Performance analysis and optimization are placeholders,20,Performance optimization not functional,Implement actual profiling and optimization algorithms,
TD-033,PLACEHOLDER,Medium,AI/OPS,apps/backend/src/ai/ops/ai_ops_engine.py,39,AI Ops anomaly detection is simple placeholder with threshold check,16,Limited anomaly detection capabilities,Implement ML-based anomaly detection (isolation forest LSTM),
TD-034,PLACEHOLDER,High,Tools,apps/backend/src/tools/image_generation_tool.py,32,Image generation returns via.placeholder.com URLs,20,No actual image generation,Integrate Stable Diffusion or DALL-E API,Yes
TD-035,PLACEHOLDER,Medium,API,apps/backend/src/api/router.py,61,Service discovery logic is placeholder,12,API service discovery not functional,Implement actual service registry and discovery,
TD-036,PLACEHOLDER,Low,Core,apps/backend/src/system_integration.py,28,System integration component initialization startup and shutdown are placeholders,16,System lifecycle management not complete,Implement proper component initialization and cleanup,
TD-037,PLACEHOLDER,Medium,Services,apps/backend/src/services/vision_service.py,698,Vision config is empty placeholder,4,Vision service not properly configured,Add actual vision service configuration,
TD-038,PLACEHOLDER,Medium,Integrations,apps/backend/src/integrations/atlassian_bridge.py,65,Atlassian bridge config loading returns placeholder,8,Atlassian integration not functional,Implement actual Atlassian API integration,
TD-039,PLACEHOLDER,Low,Fragmenta,apps/backend/src/fragmenta/fragmenta_orchestrator.py,20,Fragmenta orchestrator is placeholder implementation,20,Fragmenta system orchestration not functional,Implement actual Fragmenta workflow orchestration,
TD-040,PLACEHOLDER,Low,AI/Reasoning,apps/backend/src/ai/reasoning/real_causal_reasoning_engine.py,24,Causal reasoning uses simplified random correlation placeholder,24,Causal reasoning not accurate,Implement proper causal inference algorithms (Pearl's methods),
TD-041,PLACEHOLDER,Low,AI/Learning,apps/backend/src/ai/learning/knowledge_distillation.py,8,Knowledge distillation loss and evaluation are placeholders,16,Knowledge distillation not functional,Implement actual distillation loss with temperature scaling,
TD-042,PLACEHOLDER,Low,AI/Agents,apps/backend/src/ai/agents/specialized/image_generation_agent.py,52,Image generation agent returns base64_placeholder,12,Agent cannot generate images,Integrate actual image generation model,
TD-043,PLACEHOLDER,Low,Core/Autonomous,apps/backend/src/core/autonomous/browser_controller.py,244,Web search is placeholder - needs real search API,8,Browser automation cannot perform searches,Integrate Google Custom Search or similar API,
